index,Date,Country,Status,AQI,timeStamp,countryCode
231,2022-07-22,Moldova,Good,11.0,1658473200.0,89
232,2022-07-22,Monaco,Good,43.0,1658473200.0,90
233,2022-07-22,Mongolia,Good,39.66666666666666,1658473200.0,91
234,2022-07-22,Montenegro,Good,46.333333333333336,1658473200.0,92
235,2022-07-22,Myanmar,Good,19.666666666666668,1658473200.0,93
236,2022-07-22,Nepal,Good,44.0,1658473200.0,94
237,2022-07-22,Netherlands,Good,30.666666666666668,1658473200.0,95
238,2022-07-22,New Caledonia,Good,6.666666666666667,1658473200.0,96
239,2022-07-22,New Zealand,Good,33.666666666666664,1658473200.0,97
240,2022-07-22,Nigeria,Unhealthy for Sensitive Groups,105.0,1658473200.0,98
241,2022-07-22,Norway,Good,39.66666666666666,1658473200.0,99
242,2022-07-22,Pakistan,Moderate,91.0,1658473200.0,100
243,2022-07-22,Palestinian Territory,Moderate,68.0,1658473200.0,101
244,2022-07-22,Peru,Moderate,96.66666666666669,1658473200.0,102
245,2022-07-22,Philippines,Moderate,83.0,1658473200.0,103
246,2022-07-22,Poland,Moderate,73.66666666666667,1658473200.0,104
247,2022-07-22,Portugal,Good,30.33333333333333,1658473200.0,105
248,2022-07-22,Puerto Rico,Good,15.0,1658473200.0,106
249,2022-07-22,Qatar,Unhealthy,183.0,1658473200.0,107
250,2022-07-22,Reunion,Good,23.33333333333333,1658473200.0,108
251,2022-07-22,Romania,Moderate,59.66666666666666,1658473200.0,109
252,2022-07-22,Russia,Moderate,87.66666666666667,1658473200.0,110
253,2022-07-22,San Marino,Moderate,56.333333333333336,1658473200.0,111
254,2022-07-22,Senegal,Good,33.0,1658473200.0,113
255,2022-07-22,Serbia,Moderate,69.0,1658473200.0,114
256,2022-07-22,Singapore,Good,48.0,1658473200.0,115
257,2022-07-22,Slovakia,Moderate,63.0,1658473200.0,116
258,2022-07-22,Slovenia,Moderate,71.66666666666667,1658473200.0,117
259,2022-07-22,South Africa,Moderate,83.0,1658473200.0,118
260,2022-07-22,South Korea,Moderate,93.0,1658473200.0,119
261,2022-07-22,Spain,Moderate,82.0,1658473200.0,120
262,2022-07-22,Sri Lanka,Good,48.0,1658473200.0,121
263,2022-07-22,Sudan,Moderate,94.0,1658473200.0,122
264,2022-07-22,Sweden,Good,36.333333333333336,1658473200.0,123
265,2022-07-22,Switzerland,Good,38.0,1658473200.0,124
266,2022-07-22,Taiwan,Moderate,65.0,1658473200.0,125
267,2022-07-22,Tajikistan,Moderate,78.66666666666667,1658473200.0,126
