index,Date,Country,Status,AQI
552,2022-07-24,Trinidad and Tobago,Moderate,78.0
553,2022-07-24,Turkey,Moderate,66.0
554,2022-07-24,Turkmenistan,Unhealthy for Sensitive Groups,104.0
555,2022-07-24,Uganda,Unhealthy,169.0
556,2022-07-24,Ukraine,Moderate,63.0
557,2022-07-24,United Arab Emirates,Unhealthy,174.0
558,2022-07-24,United Kingdom of Great Britain and Northern Ireland,Good,39.0
559,2022-07-24,United States of America,Moderate,85.0
560,2022-07-24,Uzbekistan,Moderate,73.0
561,2022-07-24,Vatican,Moderate,57.0
562,2022-07-24,Venezuela,Good,4.0
563,2022-07-24,Vietnam,Moderate,92.0
564,2022-07-24,Zambia,Unhealthy,152.0
565,2022-07-25,Albania,Moderate,55.0
566,2022-07-25,Algeria,Moderate,65.0
